D_IPERE;M_NUMERO;M_DEBUT;M_FEXP;M_AUTO;M_PERS;M_DOMRMR;M_DOMSDR;M_DOMSR;M_DOMSM;M_DOMXCOOR;M_DOMYCOOR;P_RANG;P_DEBUT;P_FEXP;P_SEXE;P_GRAGE;P_STATUT;P_PERMIS;P_DEPLAC;D_HREDE;D_GRHRE;D_MOTIF;D_MODE;D_MODE1;D_MODE2;D_MODE3;D_MODE4;D_MODE5;D_MODE6;D_MODE7;D_MODE8;D_MODE9;D_ORIRMR;D_ORISDR;D_ORISR;D_ORISM;D_ORIXCOOR;D_ORIYCOOR;D_DESRMR;D_DESSDR;D_DESSR;D_DESSM;D_DESTXCOOR;D_DESTYCOOR
1;1000204;1;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;1;24.4;1;14;4;1;1;930;3;5;MV;14;;;;;;;;;462;2466023;4620279.00;108;291500;5045500;462;2466023;4620279.00;108;291500;5045500
2;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;2;1030;3;5;MV;14;;;;;;;;;462;2466023;4620279.00;108;291500;5045500;462;2466023;4620280.00;108;291500;5045500
3;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;3;1200;4;5;MV;14;;;;;;;;;462;2466023;4620280.00;108;291500;5045500;462;2466023;4620270.00;108;292500;5045500
4;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;4;1300;4;11;MV;14;;;;;;;;;462;2466023;4620270.00;108;292500;5045500;462;2466023;4620279.00;108;291500;5045500
5;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;5;1400;4;1;MV;14;;;;;;;;;462;2466023;4620279.00;108;291500;5045500;462;2466023;4620279.00;108;291500;5045500
6;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;6;1500;4;11;MV;14;;;;;;;;;462;2466023;4620279.00;108;291500;5045500;462;2466023;4620279.00;108;291500;5045500
7;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;7;1900;6;6;MV;14;;;;;;;;;462;2466023;4620279.00;108;291500;5045500;462;2466023;4620279.00;108;291500;5046500
8;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;8;2045;6;11;MV;14;;;;;;;;;462;2466023;4620279.00;108;291500;5046500;462;2466023;4620279.00;108;291500;5045500
9;1000236;1;18.74;1;2;462;2466023;4620264.01;108;294500;5046500;1;1;18.91;1;16;4;1;1;1020;3;5;AJ;11;;;;;;;;;462;2466023;4620264.01;108;294500;5046500;462;2466023;4620264.01;108;294500;5046500
10;1000236;;18.74;1;2;462;2466023;4620264.01;108;294500;5046500;1;;18.91;1;16;4;1;2;1145;3;11;AJ;11;;;;;;;;;462;2466023;4620264.01;108;294500;5046500;462;2466023;4620264.01;108;294500;5046500
11;1000236;;18.74;1;2;462;2466023;4620264.01;108;294500;5046500;2;1;18.91;1;16;4;2;1;950;3;8;AJ;11;;;;;;;;;462;2466023;4620264.01;108;294500;5046500;462;2466023;4620227.00;107;294500;5044500
12;1000236;;18.74;1;2;462;2466023;4620264.01;108;294500;5046500;2;;18.91;1;16;4;2;2;1530;5;11;AJ;11;;;;;;;;;462;2466023;4620227.00;107;294500;5044500;462;2466023;4620264.01;108;294500;5046500
13;1000258;1;26.61;1;1;462;2466023;4620267.00;108;293500;5044500;1;1;25.56;2;13;1;1;1;800;2;1;AC;1;;;;;;;;;462;2466023;4620267.00;108;293500;5044500;462;2466023;4620410.03;119;291500;5042500
14;1000258;;26.61;1;1;462;2466023;4620267.00;108;293500;5044500;1;;25.56;2;13;1;1;2;1500;4;11;AC;1;;;;;;;;;462;2466023;4620410.03;119;291500;5042500;462;2466023;4620267.00;108;293500;5044500
15;1000345;1;26.87;3;3;462;2466023;4620284.00;108;289500;5044500;1;1;24.59;2;11;1;1;1;715;2;1;AC;1;;;;;;;;;462;2466023;4620284.00;108;289500;5044500;462;2466023;4620153.00;106;299500;5044500
16;1000345;;26.87;3;3;462;2466023;4620284.00;108;289500;5044500;1;;24.59;2;11;1;1;2;1730;5;11;AC;1;;;;;;;;;462;2466023;4620153.00;106;299500;5044500;462;2466023;4620284.00;108;289500;5044500
17;1000345;;26.87;3;3;462;2466023;4620284.00;108;289500;5044500;3;1;28.22;1;5;3;1;1;730;2;4;TC;3;4;4;;;;;;;462;2466023;4620284.00;108;289500;5044500;462;2466023;4620127.01;105;295500;5040500
18;1000345;;26.87;3;3;462;2466023;4620284.00;108;289500;5044500;3;;28.22;1;5;3;1;2;1600;5;11;TC;4;4;3;;;;;;;462;2466023;4620127.01;105;295500;5040500;462;2466023;4620284.00;108;289500;5044500
19;1000368;1;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;1;1;25.77;1;16;4;1;1;745;2;6;AC;1;;;;;;;;;462;2466023;4620264.02;108;294500;5046500;462;2466023;4620272.00;108;292500;5047500
20;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;1;;25.77;1;16;4;1;2;900;3;11;AC;1;;;;;;;;;462;2466023;4620272.00;108;292500;5047500;462;2466023;4620264.02;108;294500;5046500
21;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;1;;25.77;1;16;4;1;3;1400;4;5;AC;1;;;;;;;;;462;2466023;4620264.02;108;294500;5046500;462;2466023;4620264.01;108;294500;5046500
22;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;1;;25.77;1;16;4;1;4;1430;4;11;AC;1;;;;;;;;;462;2466023;4620264.01;108;294500;5046500;462;2466023;4620264.02;108;294500;5046500
23;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;1;;25.77;1;16;4;1;5;1700;5;5;AC;1;;;;;;;;;462;2466023;4620264.02;108;294500;5046500;462;2466023;4620264.01;108;294500;5046500
24;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;1;;25.77;1;16;4;1;6;1725;5;11;AC;1;;;;;;;;;462;2466023;4620264.01;108;294500;5046500;462;2466023;4620264.02;108;294500;5046500
25;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;2;1;24.53;2;13;4;1;1;800;2;6;AP;2;;;;;;;;;462;2466023;4620264.02;108;294500;5046500;0;0;;999;0500;0500
26;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;3;1;29.92;2;5;3;2;1;930;3;4;AP;2;;;;;;;;;462;2466023;4620264.02;108;294500;5046500;462;2466023;4620051.00;101;299500;5041500
27;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;3;;29.92;2;5;3;2;2;1115;3;11;AP;2;;;;;;;;;462;2466023;4620051.00;101;299500;5041500;462;2466023;4620264.02;108;294500;5046500
28;1000434;1;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;1;1;13.86;1;14;4;1;1;1300;4;5;AC;1;;;;;;;;;462;2466023;4620277.00;108;292500;5047500;462;2465005;4620642.00;406;286500;5047500
29;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;1;;13.86;1;14;4;1;2;1500;4;5;AC;1;;;;;;;;;462;2465005;4620642.00;406;286500;5047500;462;2466023;4620280.00;108;291500;5044500
30;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;1;;13.86;1;14;4;1;3;1530;5;5;AC;1;;;;;;;;;462;2466023;4620280.00;108;291500;5044500;462;2466023;4620610.01;118;295500;5051500
31;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;1;;13.86;1;14;4;1;4;1550;5;5;AC;1;;;;;;;;;462;2466023;4620610.01;118;295500;5051500;462;2466023;4620277.00;108;292500;5047500
