Synthetic_D_ORIXCOOR,Synthetic_D_ORIYCOOR,Synthetic_D_DESTXCOOR,Synthetic_D_DESTYCOOR,Synthetic_P_SEXE,Synthetic_P_GRAGE,Synthetic_D_HREDE
261896.6464996338,2898871.2126016617,144938.66312503815,2385158.815741539,1,92,9.8398760139754
251020.8432674408,1747620.31814456,393357.0747375488,3076124.076664448,1,31,14.758115634663246
232025.7966518402,1499248.3423948288,191500.78344345093,3317985.359966755,2,97,20.105382078728343
378556.6811561585,2813006.285488605,356574.2974281311,2258849.057942629,1,13,16.64160196535413
354506.3142776489,3532794.323921204,208795.97115516663,1018304.2543530464,2,4,18.285426575024687
242090.64292907715,2206911.234945059,275658.6854457855,1919276.161164045,2,18,9.444087548883106
342862.2727394104,2748244.033038616,340591.4430618286,3259005.462408066,1,11,20.78675409560013
424240.6373023987,2424890.9062743187,199244.2672252655,3283202.5395035744,2,86,4.095867089159072
263000.14305114746,3154881.481289864,251656.2943458557,2517707.687675953,2,51,19.231619384699982
235136.8193626404,2804652.194082737,198883.18824768063,2990878.152370453,2,37,15.173335955458239
300665.47441482544,4414573.626279831,253003.49640846247,2120431.7395687103,1,63,9.619395578386948
360612.3809814453,2194018.9109146595,222040.6119823456,2403228.1013429165,2,2,2.159061846347568
283638.0605697632,1593860.660135746,283396.1968421936,2049108.026653528,1,20,8.116551878192093
239898.5450267792,2332404.4228196144,245488.9838695526,3105004.044651985,1,81,9.069951464632759
293891.6985988617,3308749.862372875,217753.0293464661,2879255.490362644,1,43,0.47174708637334517
331682.5752258301,2760463.527917862,226983.2615852356,725024.4498252869,1,53,15.589190093200571
205026.25155448916,1430457.372486591,356560.6360435486,2318289.537638426,2,52,3.417744052889691
321821.9881057739,3909887.5383138657,217580.29508590695,2197279.5327305794,1,28,17.358854744235874
324846.9476699829,1913276.0542929173,375384.0928077698,2927491.223871708,2,67,10.699886530405639
390466.76206588745,2434427.1890819077,340305.3765296936,2293650.075376034,2,79,1.0018478161696776
361451.30443573,2076900.3051519396,190961.3196849823,2201537.317931652,2,46,13.254842663736182
410662.2223854065,4055353.812456131,386892.879486084,1910275.2362787724,1,45,22.109328263538366
329265.3684616089,3246323.8562345505,402244.9498176575,3212733.166694641,1,4,13.66027780754265
330448.8306045532,2756456.218659878,314339.1971588135,2500341.9672846794,2,10,9.79827861087976
282131.6604614258,3139785.030126572,483717.2632217407,2022024.2066681385,2,98,4.7141203984144795
258945.60861587524,3266465.608537197,248845.2320098877,2614040.307223797,2,30,18.97879235822166
224638.6890411377,2429216.4331376557,281144.1605091095,3507206.6313028336,2,67,20.576683298064694
339635.1103782654,1741620.517104864,363954.2346000672,2630100.4332304,1,30,1.5781469775604002
91571.30467891692,1432180.579692125,354011.3215446472,3196826.262235641,1,64,19.96783859354809
226297.40285873413,2082766.4578557012,156344.06852722168,2338693.234562874,1,47,21.744780988897535
276720.8938598633,1571381.7440271378,366969.2521095276,2236389.8679614067,1,69,0.6902246172228683
279702.7771472931,2809913.412213325,301091.4807319641,2466342.075288296,1,70,18.246859809644526
318035.3527069092,2306400.6465375423,322430.5992126465,3369303.568482399,1,50,12.358093132158176
297798.62213134766,2605486.5078926086,154220.4384803772,4020973.160326481,1,27,23.10585654988591
249642.00901985168,1959335.644245148,391973.0906486511,2665759.7665786743,2,37,8.145714896080113
481438.5657310486,3267845.825791359,356001.37758255005,1513520.4249322414,2,24,0.644637138367883
248516.73293113708,2060959.3004882336,408833.88566970825,3083605.9368252754,1,87,0.9524329386497689
239880.37753105164,1781149.8413980007,258806.20527267456,3089655.2825570107,2,31,23.365739868264793
288536.4179611206,3463318.5974359512,285437.5903606415,1359326.027542353,1,13,3.120840377974172
265801.0845184326,2812963.469088077,271402.86016464233,2677264.839231968,1,42,20.70950231539463
164919.8775291443,1909473.4991788864,174603.33156585693,2998976.568698883,1,98,19.895315958018312
273168.25437545776,3002994.582056999,151324.4752883911,1830359.342187643,2,49,15.257394102003293
238149.8520374298,2304390.2636170387,233146.01230621335,3730549.209713936,2,69,13.199115596487664
208824.5277404785,2424590.12106061,229799.8850345612,3152004.219174385,2,97,16.38228719871534
301796.90170288086,2741823.713779449,217958.18257331848,2395154.9161076546,1,17,11.99546261308891
398602.72455215454,3222793.1858301163,376274.44314956665,1675887.2498571873,1,31,19.87885396048931
353884.5782279968,2761767.898976803,251092.8337574005,2094525.064766407,2,68,0.4675190330232237
211560.48822402957,2947046.085655689,223979.09808158877,2433604.808360338,1,33,2.762525261046571
251357.74660110477,2128158.264875412,312160.635471344,2936890.0354504585,2,42,5.70311886383902
270852.6496887207,2605350.412905216,330274.4154930115,2070260.704755783,1,59,4.221897833338165
340252.12574005127,2221792.686611414,378417.3135757446,2203659.482240677,2,72,4.27400520955673
215639.6095752716,2510588.390678168,257221.35949134827,1733523.018270731,2,53,21.92308890807649
254655.7729244232,2457967.6460921764,291548.75326156616,3295771.90554142,1,91,21.291050262641377
409137.6190185547,3304678.6343455315,278299.0162372589,2215270.525485277,2,23,18.825737602592525
321969.7241783142,1805932.8915178776,322226.25064849854,1616209.4449698925,2,38,7.548918669864462
177420.84908485413,2645445.831179619,288327.08048820496,2104612.3028993607,1,88,1.3922317097061412
292679.8050403595,1135861.4988476038,317622.7216720581,2856697.3639130592,2,5,23.09780439735182
382321.1436271668,1901007.014721632,280869.8420524597,3171711.0791802406,1,72,16.72946257431911
322243.09492111206,2202346.7008173466,203639.5673751831,3008956.154167652,2,96,2.131067019327392
310138.5359764099,1671316.5991008282,302037.94288635254,3218284.3130230904,1,99,1.0481176055387202
380055.6783676148,2299861.5117669106,311848.6766815185,2393484.158992768,1,61,23.723868085789594
231196.1178779602,3376169.484138489,316518.4383392334,1863177.960276604,1,16,17.595625876625167
335544.7416305542,2062822.119742632,291697.0794200897,2919953.3965587616,1,69,14.959146851814214
349751.29413604736,785766.3951814175,202106.559753418,3677157.769918442,2,40,1.6693558042190875
247297.0073223114,2283482.403576374,341973.4601974488,2590702.616453171,1,72,20.798229887587237
295739.3114566803,2696180.207490921,201753.99231910703,3276461.7089033127,1,3,6.637425649621017
221373.7790584564,3613363.779783249,424442.2678947449,2550709.804624319,1,78,10.358195852722659
331652.46295928955,2988522.3328471184,345862.3056411743,1782119.6328699589,2,57,22.20922098479705
280224.0734100342,2116310.202270746,275270.55191993713,2578892.935693264,1,11,4.607489957543927
215627.0031929016,1838588.5014534,309055.99641799927,3371106.444776058,1,11,21.805761135218432
245824.18847084045,2973335.9672427177,255964.1366004944,3303424.1138100624,1,57,6.7682371261274055
324661.4818572998,2710871.432006359,227199.93042945865,3449460.457742214,1,19,0.0
212537.7600193024,1373465.8379852772,257177.97923088077,2644172.654926777,2,55,12.930167273025372
280123.13294410706,2695784.155786037,282765.6989097595,2999863.7856841087,1,63,19.134414964494063
318810.08195877075,2601789.31170702,448729.9566268921,2257588.1149470806,1,95,6.967057336701051
348280.51376342773,3584433.349609375,234925.72951316836,2375941.973865032,2,84,9.456189044198755
314143.7177658081,3607337.065577507,190587.5985622406,3258237.5196814537,2,40,20.95028632854726
243734.8728179932,2496580.546498298,254967.51713752747,3212809.012889862,2,48,4.400660742434396
300866.4255142212,2705712.6674056053,248190.8087730408,1942705.6013643744,2,82,20.40808478308958
264349.6160507202,2125690.51104784,207171.32139205933,2783362.962245941,2,86,13.273619206620852
341733.2057952881,4129131.6697001457,357241.66679382324,2624817.5010681152,1,47,8.202149294546567
376170.4807281494,2800521.634757519,158522.3262310028,2212276.58867836,1,20,18.382177165962943
387636.3162994385,2006705.5689692495,293866.07456207275,2429169.1821813583,1,52,11.86686784900945
285302.44278907776,2679878.474652767,310972.4168777466,3473177.379488945,2,9,16.80631530921559
323955.4886817932,2019636.7335915563,322788.3343696594,3271365.0280833244,2,92,22.586970308755674
333667.4814224243,1322123.468786478,428580.2011489868,2548083.4771990776,2,35,5.132309021718398
189671.48113250727,2162194.092065096,329201.42459869385,3873169.722378254,2,35,11.943527263400366
265274.9066352844,2880081.5410614014,402291.97788238525,2143438.673645258,2,4,1.1296223885571413
263376.6179084778,1742728.0856370926,255451.29823684687,3128862.5663518906,2,4,21.058815727795793
298699.18274879456,3174196.8770623207,374760.96200942993,2024719.4990813727,2,93,1.4153828785983646
278469.7120189667,1963074.7393369677,228726.8047332764,2393267.018675804,2,5,20.176487546408048
309557.1403503418,2264579.2685747147,284264.3027305603,3172549.057304859,1,94,6.3151140174694405
328045.6428527832,3346342.050373554,185707.6411247253,2717192.661881447,2,62,17.195193607769014
324183.0472946167,1641423.2586622238,361476.2668609619,2864217.4530029297,2,89,18.563974557370358
393281.0788154602,3426090.9605026245,225908.28585624692,2484290.557473898,2,45,20.63025308410826
289793.0328845978,2670517.586171627,189669.1744327545,3931647.138893604,2,73,17.415079170553046
315466.04681015015,1938426.255047321,290430.4151535034,2770881.369829178,1,96,6.9454767645538515
238491.86944961548,2365528.260678053,156699.96190071106,2317168.053776026,2,22,14.762795898658133
364276.2069702149,2270439.610481262,256687.6714229584,2374641.2727832794,2,9,22.374089174433692
