D_ORIXCOOR,D_ORIYCOOR,D_DESTXCOOR,D_DESTYCOOR
232108.05,105089.9,127903.016,1968815.9
267329.12,4165495.5,414631.1,597279.56
256400.73,4921300.0,419396.78,3338333.0
405001.16,2892668.0,235243.89,1269808.6
185143.47,4015398.2,511467.4,1219443.9
212298.67,426932.4,290660.06,3190311.0
258964.72,1670041.5,255090.31,3067056.0
120941.14,1082255.5,301948.78,3563040.0
450232.78,861568.44,298702.22,4435797.0
254940.17,2195785.5,244854.2,3869353.8
155808.17,2675135.5,405595.6,4557339.0
421067.5,1113439.1,312287.44,2684159.2
221215.17,4870713.5,386042.84,1040925.5
260422.64,4330160.5,386862.34,616069.0
360012.28,2538071.5,375661.88,792093.3
330312.53,2607492.0,117438.41,649204.9
190275.6,1526520.6,168406.75,4114028.5
380562.7,3158016.0,351056.53,494948.5
96447.086,2077011.1,246373.17,2457047.2
188363.2,4981902.0,337998.97,2441294.5
172710.08,2076529.1,186922.03,4327480.0
97231.5,1507946.0,287332.53,1747850.1
154710.55,1430642.1,164897.8,4451479.0
152248.67,4156172.0,219720.03,2940388.8
494413.97,4412712.5,356386.03,4581696.0
379364.22,4619713.5,171175.05,2572165.0
210355.16,3883547.0,174260.86,3344452.2
447032.9,3766675.0,423056.75,1958971.6
329037.34,2465601.0,177052.08,3332412.5
192679.03,3972559.5,246712.92,354893.28
209486.9,414155.47,238228.1,4166899.0
319954.44,1912563.9,407100.56,4202464.0
152622.36,1450232.6,152984.33,4038756.8
506914.53,4659538.0,514148.88,3683096.5
433770.88,2908182.5,440795.28,4158442.0
428003.72,540208.0,273758.72,1644117.1
418517.47,3242766.5,278239.6,1461799.9
206478.42,1453426.6,453375.84,581026.94
359769.1,486285.03,194819.7,2108625.5
144132.58,1587558.1,107502.26,2034388.4
180148.45,1642821.8,173006.48,4084818.0
280087.97,5051973.0,414482.03,4045360.2
226793.3,2056577.8,468457.1,3433578.5
491538.9,4956580.0,266897.66,1289049.6
437914.7,3932059.2,337312.94,1683538.1
388441.22,1656570.9,381469.22,4567978.0
433558.78,882643.2,299543.78,1116508.4
208014.86,1870380.1,269871.1,4668532.5
307577.44,573281.9,331930.66,3922557.5
204791.88,1611410.1,372022.4,2286730.0
458939.66,1671165.1,359256.84,2030468.9
465652.28,3904694.2,256871.6,351703.9
317075.53,2857751.2,96539.32,1640903.8
113285.36,1088133.2,387150.53,1115323.1
429912.88,1053866.9,177016.6,2860065.5
312297.53,2496223.5,319712.72,158086.08
101085.234,295183.28,322761.6,1416890.6
209133.75,3759010.5,133966.73,2975314.0
235120.28,3647753.0,347577.53,210037.73
162238.33,3619042.5,192572.92,4788512.0
101461.67,1572743.4,432156.28,2266952.5
232707.47,1343850.4,143694.44,4068721.5
290424.62,1446518.1,171600.8,3798800.5
234839.36,4433986.0,262921.03,2070833.1
265487.03,2834665.8,246180.44,4549075.0
216920.11,1311585.5,460461.28,3681381.8
222198.22,1110473.5,275198.22,2967370.5
106554.53,1887523.9,92918.82,1260684.1
258474.39,558966.8,453453.2,3383885.0
88219.914,33387.168,27110.225,259290.39
472618.03,1469505.9,252343.06,777022.4
155491.23,1242997.1,417150.62,3097379.5
357046.84,521235.03,149474.56,654397.2
200382.88,4852450.0,487979.72,1818644.4
339639.34,1034200.94,231992.08,3290570.8
386584.44,1459249.1,334602.97,4078607.2
212255.61,2239041.5,112848.125,2394803.0
370580.12,2869527.0,489196.53,1707316.2
293779.03,4922500.0,365331.72,1599555.9
209241.44,5040953.0,255097.47,2032771.4
83654.8,564077.56,229251.39,1627158.9
218181.17,4626446.0,216101.2,2987645.5
297339.7,648285.6,309356.28,1525833.0
216000.08,1203305.2,58541.934,391156.84
275869.78,1373461.4,70029.34,684664.8
481595.47,1275551.4,151983.56,1085620.6
421605.16,1436081.4,158513.56,1794143.6
429462.38,4692945.0,448832.75,3396930.8
291202.56,1650547.4,102035.02,146526.4
393580.44,2871788.8,228356.52,2056211.9
459697.16,4650967.0,321095.62,4332615.5
304104.03,1262755.6,158207.75,2717611.5
503547.1,4949461.0,376013.4,2500250.5
323747.28,1893269.6,192156.08,3415425.2
303010.97,665649.44,336698.28,105438.3
330296.22,4707663.0,514783.47,3689306.5
307645.7,3961257.8,457742.44,1878566.1
189615.72,380162.62,120393.2,2483031.0
505118.1,4869065.5,437364.6,4005877.0
144216.12,1540336.8,178827.89,4718975.5
226506.95,3333647.5,156904.33,4464664.0
123395.85,812326.7,99974.336,1701511.0
128201.99,880307.56,319067.06,3401657.0
378866.7,2324063.5,351757.75,1661619.4
235545.34,1129393.1,276798.84,4144009.0
