P_SEXE,D_HREDE,P_GRAGE
2,0.30064195228417534,16
2,0.2324119182707266,15
1,0.03972035412910735,10
2,0.9634861780381567,26
2,0.4258697412002995,18
2,0.13187847100002437,16
2,0.4527620690092268,18
1,0.9624646911742935,21
1,0.20561859207243116,13
1,0.06075059214076273,11
1,0.6806158295785266,20
1,0.6506720796688837,18
1,0.046160108713349746,12
2,0.6228560272034023,20
1,0.0709805355480192,11
2,0.7049562674494202,22
2,0.27144912871319526,16
1,0.33261201784653105,15
1,0.9309255852670398,21
2,0.08532215430242895,15
1,0.5517570649790587,17
2,0.8745100739653943,24
1,0.7986744000263708,20
2,0.5039076397537553,19
2,0.3532895557899909,17
1,0.8375188291431952,20
2,0.7976366866452009,23
2,0.602886236559442,21
1,0.9231643166492007,21
1,0.5264670623054837,18
2,0.9218778711099272,24
1,0.7867203975189576,20
2,0.5575228260721349,20
1,0.611532988622355,18
2,0.6274796984775006,20
1,0.6290216212568224,17
2,0.9026642103326419,25
2,0.40519692645063843,17
2,0.8001677401804159,24
2,0.7161435965061947,22
1,0.8655312571244034,21
1,0.8827775780466965,21
1,0.6338498308035121,19
2,0.1463595738870006,17
1,0.00828313665527014,10
1,0.6029438988947965,19
2,0.7288853428299088,21
2,0.3374476869321127,17
1,0.021814584797146153,12
1,0.5081969907912024,17
1,0.5482257229919165,18
2,0.8213404069831258,23
1,0.7945379631838652,20
2,0.3941100838302606,17
2,0.08729549090610678,17
2,0.8493824586052003,24
1,0.1343277979218328,14
2,0.0891269070724624,17
2,0.5960955844138186,21
2,0.4672082389938924,18
1,0.2197137324968883,14
1,0.32921923303556455,15
2,0.9016264921687467,24
1,0.5520006243298816,19
1,0.2531800391792357,14
2,0.9106476306322834,23
1,0.1226764395185368,12
1,0.4247967771342891,15
2,0.9850441130202042,25
1,0.8737054276748334,21
1,0.9856829969217913,22
1,0.22065994940112532,14
2,0.14242044980482815,14
1,0.23571794484707698,14
1,0.8199620720328148,20
1,0.5159188942757841,17
2,0.5574218459116929,20
1,0.18164088029789582,14
2,0.042499084590343794,14
1,0.8104290099566317,21
1,0.48113194681369964,18
2,0.8298975064501418,24
2,0.3634690277529459,17
1,0.30926108646327977,14
2,0.6493502869743483,21
1,0.060839426161551025,11
2,0.3283014911223684,16
1,0.7277564598273761,19
2,0.11875716749513043,18
1,0.09846605741188308,12
2,0.32572503000660413,17
1,0.7042221870568472,19
2,0.21174882711191512,17
1,0.5607064551680023,19
1,0.3913687273302101,17
2,0.8126497133599834,23
2,0.4325338277857269,18
2,0.6396992874267596,21
2,0.06756802258702943,19
2,0.7228955059412715,22
1,0.8315141985517958,21
2,0.8223181182988218,24
1,0.18620909335172586,14
1,0.853985944619977,22
1,0.38313240019205885,17
2,0.3200697819347277,16
2,0.7632520972264765,22
1,0.01660325343163027,11
2,0.12737020124946186,16
2,0.6143960524903076,21
1,0.21124248915210941,14
1,0.7373433814511816,18
1,0.04835534235441041,11
2,0.4117671604031885,18
2,0.5368662825315809,19
1,0.24374549820559321,15
1,0.03951414304110157,13
2,0.7597536211500875,22
1,0.5674745704575678,18
2,0.9008794601320272,25
2,0.3079000089299828,17
1,0.0964714834841921,11
1,0.7413003563556689,19
2,0.802965625903408,23
1,0.9747015000900828,22
2,0.6138109085514903,21
1,0.036528728869676175,14
2,0.1382725365340557,15
2,0.43595622358044517,18
2,0.9127771889477828,25
1,0.14191016736627848,12
1,0.983159787305202,23
2,0.8280550122088156,23
2,0.9604633311940071,26
1,0.4358092873855385,17
2,0.6721576344862522,22
1,0.796107675778918,19
2,0.9895412460488042,26
2,0.11528186660970563,15
2,0.8968173085920945,25
2,0.5802282028638645,20
2,0.5477571363066643,20
1,0.8308532221542148,20
1,0.5514694532856945,17
2,0.7418358534785078,22
2,0.915683308651032,25
2,0.6014094667310359,21
1,0.30514818860839743,14
1,0.8120948635914037,20
1,0.23532988164038926,13
2,0.697026233218801,21
2,0.4795657187867036,19
1,0.15286624414648275,14
2,0.5156571346077954,19
2,0.6105671022479886,20
